Date,City,Crime,Crime Group,Violence Rating,Year
2018-01-01,Seattle,All Other Offenses,Other,0,2018
2018-01-02,Seattle,All Other Offenses,Other,0,2018
2018-01-03,Seattle,Simple Assault,Assault,6,2018
2018-01-04,Seattle,Simple Assault,Assault,6,2018
2018-01-05,Seattle,Theft From Building,Theft,1,2018
2018-01-06,Seattle,All Other Offenses,Other,0,2018
2018-01-07,Seattle,All Other Larceny,Theft,1,2018
2018-01-08,Seattle,Theft From Building,Theft,1,2018
2018-01-09,Seattle,Weapon Law Violations,Misdemeanor,1,2018
2018-01-10,Seattle,All Other Offenses,Other,0,2018
2018-01-11,Seattle,All Other Offenses,Other,0,2018
2018-01-12,Seattle,All Other Offenses,Other,0,2018
2018-01-13,Seattle,All Other Offenses,Other,0,2018
2018-01-14,Seattle,Simple Assault,Assault,6,2018
2018-01-15,Seattle,Credit Card/Automated Teller Machine Fraud,Fraud,1,2018
2018-01-16,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-01-17,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-01-18,Seattle,Counterfeiting/Forgery,Fraud,1,2018
2018-01-19,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-01-20,Seattle,Simple Assault,Assault,6,2018
2018-01-21,Seattle,Aggravated Assault,Assault,6,2018
2018-01-22,Seattle,Theft From Building,Theft,1,2018
2018-01-23,Seattle,All Other Offenses,Other,0,2018
2018-01-24,Seattle,All Other Offenses,Other,0,2018
2018-01-25,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-01-26,Seattle,Liquor Law Violations,Misdemeanor,1,2018
2018-01-27,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-01-28,Seattle,All Other Offenses,Other,0,2018
2018-01-29,Seattle,Simple Assault,Assault,6,2018
2018-01-30,Seattle,Kidnapping/Abduction,Assault,6,2018
2018-01-31,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-02-01,Seattle,Intimidation,Assault,6,2018
2018-02-02,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-02-03,Seattle,Theft From Motor Vehicle,Theft,1,2018
