City,Year,Total_Arrests,Avg_Violence_Score,Violent_Crime_Count,Violent_Crime_Rate,Population,Income (dollars),Education (percent),Employment (percent),HousingUnits,Health (percent),Households,Age,Language (percent),Foreign-born (percent),Naturalized (percent),Not Naturalized (percent),Older Pop (percent),Residential Mobility (percent),Poverty (percent),High School (percent),Bachelor's (percent),Graduate or Professional (percent),K-12 (percent),Commuting,Hours Worked,Rent,Homeownership Rate(percent),Largest Housing Value,Disability (percent),Marital Status (percent),American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,White
Austin,2018,365,3.0164383561643837,86,23.56164383561644,961855,90430,60.7,72.2,518574,13.0,484550,34.8,33.2,21.6,35.4,64.6,10.8,2.7,11.8,13.4,35.2,25.5,58.5,24.2,39.4,1770,43.4,500000-999999,7.6,56.0,9277,86876,69757,312448,708,526024
Austin,2019,365,2.9534246575342467,78,21.36986301369863,961855,90430,60.7,72.2,518574,13.0,484550,34.8,33.2,21.6,35.4,64.6,10.8,2.7,11.8,13.4,35.2,25.5,58.5,24.2,39.4,1770,43.4,500000-999999,7.6,56.0,9277,86876,69757,312448,708,526024
Austin,2020,366,3.0,80,21.85792349726776,961855,90430,60.7,72.2,518574,13.0,484550,34.8,33.2,21.6,35.4,64.6,10.8,2.7,11.8,13.4,35.2,25.5,58.5,24.2,39.4,1770,43.4,500000-999999,7.6,56.0,9277,86876,69757,312448,708,526024
Austin,2021,365,2.9726027397260273,85,23.28767123287671,961855,90430,60.7,72.2,518574,13.0,484550,34.8,33.2,21.6,35.4,64.6,10.8,2.7,11.8,13.4,35.2,25.5,58.5,24.2,39.4,1770,43.4,500000-999999,7.6,56.0,9277,86876,69757,312448,708,526024
Austin,2022,365,3.0,78,21.36986301369863,961855,90430,60.7,72.2,518574,13.0,484550,34.8,33.2,21.6,35.4,64.6,10.8,2.7,11.8,13.4,35.2,25.5,58.5,24.2,39.4,1770,43.4,500000-999999,7.6,56.0,9277,86876,69757,312448,708,526024
Austin,2023,365,2.695890410958904,72,19.726027397260275,961855,90430,60.7,72.2,518574,13.0,484550,34.8,33.2,21.6,35.4,64.6,10.8,2.7,11.8,13.4,35.2,25.5,58.5,24.2,39.4,1770,43.4,500000-999999,7.6,56.0,9277,86876,69757,312448,708,526024
Austin,2024,366,2.9945355191256833,79,21.584699453551913,961855,90430,60.7,72.2,518574,13.0,484550,34.8,33.2,21.6,35.4,64.6,10.8,2.7,11.8,13.4,35.2,25.5,58.5,24.2,39.4,1770,43.4,500000-999999,7.6,56.0,9277,86876,69757,312448,708,526024
Chicago,2018,365,3.265753424657534,126,34.52054794520548,2746388,80613,46.4,64.1,1282248,9.6,1172455,35.9,35.4,22.0,45.8,54.2,14.2,2.6,16.6,20.4,26.6,19.8,59.4,33.5,38.5,1486,46.5,300000-499999,11.9,50.7,34543,192586,801195,819518,1087,986280
Chicago,2019,365,3.1890410958904107,125,34.24657534246575,2746388,80613,46.4,64.1,1282248,9.6,1172455,35.9,35.4,22.0,45.8,54.2,14.2,2.6,16.6,20.4,26.6,19.8,59.4,33.5,38.5,1486,46.5,300000-499999,11.9,50.7,34543,192586,801195,819518,1087,986280
Chicago,2020,366,3.2868852459016393,127,34.69945355191257,2746388,80613,46.4,64.1,1282248,9.6,1172455,35.9,35.4,22.0,45.8,54.2,14.2,2.6,16.6,20.4,26.6,19.8,59.4,33.5,38.5,1486,46.5,300000-499999,11.9,50.7,34543,192586,801195,819518,1087,986280
